Dataset,Model,Base Model,Category,Target Transform,Series ID,Time,Actual,Prediction,Forecast Horizon,Stride,Source
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2014-11-01,27.77,26.488880157470703,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2014-12-01,27.655,26.703401565551758,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-01-01,27.725,26.681371688842773,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-02-01,27.795,26.732337951660156,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-03-01,27.43,26.728422164916992,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-04-01,27.53,26.77872085571289,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-05-01,27.43,26.749584197998047,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-06-01,27.41,26.696884155273438,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-07-01,27.245,26.750917434692383,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-08-01,27.03,26.715803146362305,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-09-01,27.03,26.701156616210938,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-10-01,27.18,26.602783203125,1,1,rolling_validation
ECB EUR/CZK Monthly Exchange Rate,N-BEATS,N-BEATS,dl,raw,series_0,2015-11-01,27.09,26.563343048095703,1,1,rolling_validation
