Dataset,Series ID,Partition,Time,Value
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1993-12-01,33.455
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-01-01,33.579
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-02-01,33.623
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-03-01,33.612
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-04-01,33.776
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-05-01,33.957
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-06-01,34.019
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-07-01,34.285
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-08-01,34.302
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-09-01,34.169
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-10-01,34.489
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-11-01,34.798
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1994-12-01,34.288
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-01-01,34.17
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-02-01,34.351
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-03-01,34.145
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-04-01,34.14
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-05-01,34.455
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-06-01,34.46
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-07-01,34.46
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-08-01,34.821
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-09-01,34.283
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-10-01,34.37
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-11-01,34.19
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1995-12-01,34.283
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-01-01,34.058
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-02-01,33.682
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-03-01,34.297
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-04-01,34.211
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-05-01,34.214
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-06-01,34.384
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-07-01,34.241
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-08-01,33.81
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-09-01,33.164
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-10-01,33.761
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-11-01,34.092
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1996-12-01,34.038
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-01-01,33.908
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-02-01,32.869
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-03-01,33.102
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-04-01,33.721
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-05-01,34.972
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-06-01,37.332
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-07-01,36.389
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-08-01,37.107
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-09-01,36.6
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-10-01,36.515
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-11-01,37.629
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1997-12-01,38.527
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-01-01,38.222
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-02-01,38.155
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-03-01,37.075
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-04-01,36.515
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-05-01,36.456
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-06-01,36.872
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-07-01,36.533
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-08-01,34.348
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-09-01,36.965
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-10-01,35.185
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-11-01,34.527
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1998-12-01,35.247
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-01-01,35.021
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-02-01,36.42
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-03-01,37.975
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-04-01,38.42
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-05-01,37.765
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-06-01,37.77
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-07-01,36.64
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-08-01,36.74
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-09-01,36.59
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-10-01,35.65
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-11-01,36.615
ECB EUR/CZK Monthly Exchange Rate,series_0,train,1999-12-01,36.015
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-01-01,36.13
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-02-01,35.74
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-03-01,35.48
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-04-01,35.625
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-05-01,36.24
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-06-01,36.315
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-07-01,35.845
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-08-01,35.565
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-09-01,35.315
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-10-01,35.47
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-11-01,34.86
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2000-12-01,34.58
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-01-01,35.09
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-02-01,34.67
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-03-01,34.595
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-04-01,34.47
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-05-01,34.65
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-06-01,34.135
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-07-01,33.765
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-08-01,33.875
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-09-01,34.235
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-10-01,33.99
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-11-01,33.585
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2001-12-01,33.3
ECB EUR/CZK Monthly Exchange Rate,series_0,train,2002-01-01,31.98
