Dataset,Model,Base Model,Category,Target Transform,Roles,Series ID,Time,Actual,Prediction,Test RMSE,Test MAPE
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 00:00:00,88467.0,89754.0703125,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 01:00:00,89272.0,90246.671875,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 02:00:00,89323.0,89570.953125,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 03:00:00,89279.0,89848.015625,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 04:00:00,89662.0,89668.96875,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 05:00:00,89617.0,90146.1171875,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 06:00:00,89750.0,89920.296875,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 07:00:00,89742.0,90049.359375,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 08:00:00,89786.0,90293.9296875,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 09:00:00,89875.0,89809.15625,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 10:00:00,89861.0,90528.375,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 11:00:00,89644.0,89309.9375,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 12:00:00,89707.0,89601.703125,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 13:00:00,89433.0,90357.8515625,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 14:00:00,88045.0,90749.453125,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 15:00:00,87026.0,90595.2421875,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 16:00:00,86382.0,90142.34375,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 17:00:00,85745.0,90903.9453125,4040.908447265625,4.335734844207764
Kaggle BTC/USD Hourly,N-BEATS,N-BEATS,dl,raw,,series_0,2025-12-15 18:00:00,86183.0,90217.40625,4040.908447265625,4.335734844207764
