Dataset,Series ID,Partition,Time,Value
Kaggle BTC/USD Hourly,series_0,train,2020-04-08 16:00:00,7280.97
Kaggle BTC/USD Hourly,series_0,train,2020-04-08 17:00:00,7217.37
Kaggle BTC/USD Hourly,series_0,train,2020-04-08 18:00:00,7266.03
Kaggle BTC/USD Hourly,series_0,train,2020-04-08 19:00:00,7273.92
Kaggle BTC/USD Hourly,series_0,train,2020-04-08 20:00:00,7333.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-08 21:00:00,7314.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-08 22:00:00,7327.98
Kaggle BTC/USD Hourly,series_0,train,2020-04-08 23:00:00,7319.43
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 00:00:00,7325.3
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 01:00:00,7327.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 02:00:00,7368.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 03:00:00,7367.36
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 04:00:00,7356.98
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 05:00:00,7315.96
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 06:00:00,7328.68
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 07:00:00,7291.79
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 08:00:00,7295.84
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 09:00:00,7312.84
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 10:00:00,7319.91
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 11:00:00,7343.33
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 12:00:00,7346.87
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 13:00:00,7300.01
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 14:00:00,7314.96
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 15:00:00,7185.98
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 16:00:00,7315.1
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 17:00:00,7346.2
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 18:00:00,7326.35
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 19:00:00,7286.32
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 20:00:00,7293.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 21:00:00,7302.93
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 22:00:00,7265.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-09 23:00:00,7276.68
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 00:00:00,7306.87
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 01:00:00,7320.51
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 02:00:00,7322.61
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 03:00:00,7293.93
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 04:00:00,7305.37
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 05:00:00,7272.42
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 06:00:00,7255.46
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 07:00:00,7180.75
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 08:00:00,7148.89
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 09:00:00,6954.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 10:00:00,6965.59
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 11:00:00,6938.01
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 12:00:00,6916.58
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 13:00:00,6927.47
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 14:00:00,6942.76
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 15:00:00,6904.9
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 16:00:00,6937.87
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 17:00:00,6915.11
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 18:00:00,6867.59
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 19:00:00,6776.81
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 20:00:00,6865.4
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 21:00:00,6881.45
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 22:00:00,6925.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-10 23:00:00,6917.7
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 00:00:00,6919.35
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 01:00:00,6905.62
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 02:00:00,6868.26
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 03:00:00,6877.03
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 04:00:00,6915.96
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 05:00:00,6907.53
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 06:00:00,6915.45
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 07:00:00,6920.53
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 08:00:00,6927.34
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 09:00:00,6936.23
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 10:00:00,6936.6
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 11:00:00,6891.71
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 12:00:00,6884.84
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 13:00:00,6869.04
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 14:00:00,6852.15
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 15:00:00,6889.05
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 16:00:00,6882.06
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 17:00:00,6861.18
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 18:00:00,6828.43
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 19:00:00,6841.1
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 20:00:00,6827.48
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 21:00:00,6800.82
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 22:00:00,6824.7
Kaggle BTC/USD Hourly,series_0,train,2020-04-11 23:00:00,6811.8
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 00:00:00,6792.17
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 01:00:00,6873.2
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 02:00:00,6874.62
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 03:00:00,6883.18
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 04:00:00,6875.1
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 05:00:00,6848.49
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 06:00:00,6820.5
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 07:00:00,6817.45
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 08:00:00,6831.85
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 09:00:00,6846.31
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 10:00:00,6832.83
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 11:00:00,6845.01
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 12:00:00,6841.54
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 13:00:00,6854.4
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 14:00:00,6843.86
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 15:00:00,6862.9
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 16:00:00,6921.42
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 17:00:00,6932.45
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 18:00:00,6977.07
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 19:00:00,7034.06
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 20:00:00,7161.48
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 21:00:00,7123.87
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 22:00:00,7120.52
Kaggle BTC/USD Hourly,series_0,train,2020-04-12 23:00:00,7136.11
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 00:00:00,7127.18
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 01:00:00,7128.02
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 02:00:00,7037.96
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 03:00:00,6908.24
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 04:00:00,6730.0
Kaggle BTC/USD Hourly,series_0,train,2020-04-13 05:00:00,6692.49
