Dataset,Model,Base Model,Category,Target Transform,Series ID,Time,Actual,Prediction,Forecast Horizon,Stride,Source
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-09,2.0,1.5391204357147217,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-10,1.0,1.6858842372894287,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-11,1.0,1.3115930557250977,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-12,1.0,1.3190319538116455,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-13,1.0,1.2883002758026123,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-14,0.0,1.3207058906555176,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-15,0.0,0.7511634826660156,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-16,3.0,0.7675237655639648,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-17,0.0,1.9661816358566284,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-18,0.0,0.9566218256950378,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-19,2.0,0.8747422099113464,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-20,1.0,1.6105701923370361,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-21,1.0,1.1428189277648926,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-22,0.0,1.148993968963623,1,1,dm_backtest_foundation
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,HOBBIES_1_242,2014-09-23,2.0,0.8728067278862,1,1,dm_backtest_foundation
