Dataset,Model,Base Model,Category,Target Transform,Roles,Series ID,Time,Actual,Prediction,Test RMSE,Test MAPE
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-03-28,1.0,0.6422116756439209,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-03-29,1.0,0.9050359129905701,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-03-30,2.0,0.8978848457336426,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-03-31,0.0,0.9005610942840576,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-01,0.0,0.9212983250617981,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-02,2.0,1.0088841915130615,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-03,0.0,1.0223884582519531,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-04,0.0,1.0087482929229736,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-05,0.0,0.9106582999229431,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-06,0.0,0.9605851173400879,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-07,2.0,0.9935932755470276,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-08,1.0,1.0073444843292236,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-09,3.0,1.0582189559936523,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-10,1.0,0.9469355940818787,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-11,0.0,1.000209093093872,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-12,2.0,1.0090525150299072,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-13,0.0,0.9944034218788147,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-14,0.0,1.0486215353012085,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-15,1.0,0.9865031242370605,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-16,2.0,0.9876207113265991,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-17,0.0,0.9718573689460754,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-18,0.0,1.0148941278457642,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-19,1.0,1.0148720741271973,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-20,1.0,0.9614191651344299,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-21,4.0,0.9376859068870544,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-22,3.0,1.0800538063049316,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-23,3.0,0.9868144392967224,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_1_242,2016-04-24,0.0,0.9407410621643066,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-03-28,1.0,0.15878050029277802,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-03-29,0.0,0.19073620438575745,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-03-30,0.0,0.19052943587303162,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-03-31,0.0,0.18561989068984985,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-01,0.0,0.24542713165283203,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-02,0.0,0.24102231860160828,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-03,0.0,0.20926855504512787,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-04,0.0,0.2109486609697342,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-05,0.0,0.1854133903980255,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-06,0.0,0.1904628872871399,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-07,0.0,0.20154517889022827,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-08,0.0,0.21623317897319794,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-09,0.0,0.22381485998630524,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-10,0.0,0.24293763935565948,0.5335637927055359,0
M5 Walmart Hobbies Daily (5 Series),GraniteTTM,GraniteTTM,foundation,raw,fastest,HOBBIES_2_071,2016-04-11,0.0,0.21925120055675507,0.5335637927055359,0
