Dataset,Model,Base Model,Category,Target Transform,Series ID,Time,Actual,Prediction,Forecast Horizon,Stride,Source
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2000-01-01,13650.948,11248.4912109375,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2001-01-01,13781.389,11630.4560546875,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2002-01-01,14015.733,12012.1640625,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2003-01-01,14407.559,12173.5947265625,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2004-01-01,14961.929,12539.6806640625,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2005-01-01,15483.135,12818.1767578125,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2006-01-01,15914.269,13069.484375,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2007-01-01,16233.168,13144.064453125,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2008-01-01,16251.606,13327.98046875,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2009-01-01,15832.884,13457.9013671875,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2010-01-01,16259.61,13623.47265625,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2011-01-01,16513.977,13821.3203125,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2012-01-01,16892.0,14164.044921875,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2013-01-01,17249.744,14038.8349609375,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2014-01-01,17685.098,13973.5625,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2015-01-01,18206.021,13875.8837890625,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2016-01-01,18537.27,14170.3623046875,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2017-01-01,18992.846,14330.0107421875,1,1,rolling_validation
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,series_0,2018-01-01,19556.27,14874.771484375,1,1,rolling_validation
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,series_0,2000-01-01,13650.948,13509.545220777762,1,1,rolling_validation
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,series_0,2001-01-01,13781.389,14071.519189058221,1,1,rolling_validation
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,series_0,2002-01-01,14015.733,14176.059836781571,1,1,rolling_validation
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,series_0,2003-01-01,14407.559,14399.802570714748,1,1,rolling_validation
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,series_0,2004-01-01,14961.929,14799.04192573672,1,1,rolling_validation
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,series_0,2005-01-01,15483.135,15377.807198152366,1,1,rolling_validation
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,series_0,2006-01-01,15914.269,15918.258035056597,1,1,rolling_validation
