Dataset,Model,Base Model,Category,Target Transform,Roles,Series ID,Time,Actual,Prediction,Test RMSE,Test MAPE
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,best_dl,series_0,2019-01-01,20061.57,19349.87890625,818.8128662109375,3.014078140258789
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,best_dl,series_0,2020-01-01,19627.633,19917.869140625,818.8128662109375,3.014078140258789
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,best_dl,series_0,2021-01-01,20816.096,20625.6796875,818.8128662109375,3.014078140258789
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,best_dl,series_0,2022-01-01,21339.074,20895.94921875,818.8128662109375,3.014078140258789
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,best_dl,series_0,2023-01-01,21955.252,21398.763671875,818.8128662109375,3.014078140258789
World Bank USA Real GDP Yearly,TiDE,TiDE,dl,raw,best_dl,series_0,2024-01-01,22568.463,20868.5546875,818.8128662109375,3.014078140258789
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,best_overall; fastest; best_statistical,series_0,2019-01-01,20061.57,19953.295334132374,422.3224781470646,1.622038430674231
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,best_overall; fastest; best_statistical,series_0,2020-01-01,19627.633,20353.146284604634,422.3224781470646,1.622038430674231
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,best_overall; fastest; best_statistical,series_0,2021-01-01,20816.096,20755.736712146223,422.3224781470646,1.622038430674231
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,best_overall; fastest; best_statistical,series_0,2022-01-01,21339.074,21160.983090787315,422.3224781470646,1.622038430674231
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,best_overall; fastest; best_statistical,series_0,2023-01-01,21955.252,21568.801316368972,422.3224781470646,1.622038430674231
World Bank USA Real GDP Yearly,Holt-Winters [log],Holt-Winters,statistical,log,best_overall; fastest; best_statistical,series_0,2024-01-01,22568.463,21979.10677430508,422.3224781470646,1.622038430674231
World Bank USA Real GDP Yearly,Chronos2,Chronos2,foundation,raw,,series_0,2019-01-01,20061.57,20140.13671875,746.7447509765625,2.9205322265625
