Dataset,Series ID,Partition,Time,Value
World Bank USA Real GDP Yearly,series_0,train,1960-01-01,3414.5298
World Bank USA Real GDP Yearly,series_0,train,1961-01-01,3493.064
World Bank USA Real GDP Yearly,series_0,train,1962-01-01,3706.1409
World Bank USA Real GDP Yearly,series_0,train,1963-01-01,3869.2112
World Bank USA Real GDP Yearly,series_0,train,1964-01-01,4093.6252
World Bank USA Real GDP Yearly,series_0,train,1965-01-01,4355.617
World Bank USA Real GDP Yearly,series_0,train,1966-01-01,4638.7324
World Bank USA Real GDP Yearly,series_0,train,1967-01-01,4754.7007
World Bank USA Real GDP Yearly,series_0,train,1968-01-01,4982.9263
World Bank USA Real GDP Yearly,series_0,train,1969-01-01,5137.397
World Bank USA Real GDP Yearly,series_0,train,1970-01-01,5148.525
World Bank USA Real GDP Yearly,series_0,train,1971-01-01,5318.052
World Bank USA Real GDP Yearly,series_0,train,1972-01-01,5597.542
World Bank USA Real GDP Yearly,series_0,train,1973-01-01,5913.5615
World Bank USA Real GDP Yearly,series_0,train,1974-01-01,5881.5957
World Bank USA Real GDP Yearly,series_0,train,1975-01-01,5869.502
World Bank USA Real GDP Yearly,series_0,train,1976-01-01,6185.7524
World Bank USA Real GDP Yearly,series_0,train,1977-01-01,6471.7935
World Bank USA Real GDP Yearly,series_0,train,1978-01-01,6830.0205
World Bank USA Real GDP Yearly,series_0,train,1979-01-01,7046.2583
World Bank USA Real GDP Yearly,series_0,train,1980-01-01,7028.165
World Bank USA Real GDP Yearly,series_0,train,1981-01-01,7206.519
World Bank USA Real GDP Yearly,series_0,train,1982-01-01,7076.5845
World Bank USA Real GDP Yearly,series_0,train,1983-01-01,7400.96
World Bank USA Real GDP Yearly,series_0,train,1984-01-01,7936.5273
World Bank USA Real GDP Yearly,series_0,train,1985-01-01,8267.446
World Bank USA Real GDP Yearly,series_0,train,1986-01-01,8553.72
World Bank USA Real GDP Yearly,series_0,train,1987-01-01,8849.219
World Bank USA Real GDP Yearly,series_0,train,1988-01-01,9218.85
World Bank USA Real GDP Yearly,series_0,train,1989-01-01,9557.388
World Bank USA Real GDP Yearly,series_0,train,1990-01-01,9737.637
World Bank USA Real GDP Yearly,series_0,train,1991-01-01,9727.09
World Bank USA Real GDP Yearly,series_0,train,1992-01-01,10069.726
World Bank USA Real GDP Yearly,series_0,train,1993-01-01,10346.824
World Bank USA Real GDP Yearly,series_0,train,1994-01-01,10763.7
World Bank USA Real GDP Yearly,series_0,train,1995-01-01,11052.645
World Bank USA Real GDP Yearly,series_0,train,1996-01-01,11469.636
World Bank USA Real GDP Yearly,series_0,train,1997-01-01,11979.705
World Bank USA Real GDP Yearly,series_0,train,1998-01-01,12516.7705
World Bank USA Real GDP Yearly,series_0,train,1999-01-01,13116.127
World Bank USA Real GDP Yearly,series_0,train,2000-01-01,13650.948
World Bank USA Real GDP Yearly,series_0,train,2001-01-01,13781.389
World Bank USA Real GDP Yearly,series_0,train,2002-01-01,14015.733
World Bank USA Real GDP Yearly,series_0,train,2003-01-01,14407.559
World Bank USA Real GDP Yearly,series_0,train,2004-01-01,14961.929
World Bank USA Real GDP Yearly,series_0,train,2005-01-01,15483.135
World Bank USA Real GDP Yearly,series_0,train,2006-01-01,15914.269
World Bank USA Real GDP Yearly,series_0,train,2007-01-01,16233.168
World Bank USA Real GDP Yearly,series_0,train,2008-01-01,16251.606
World Bank USA Real GDP Yearly,series_0,train,2009-01-01,15832.884
World Bank USA Real GDP Yearly,series_0,train,2010-01-01,16259.61
World Bank USA Real GDP Yearly,series_0,train,2011-01-01,16513.977
World Bank USA Real GDP Yearly,series_0,train,2012-01-01,16892.0
World Bank USA Real GDP Yearly,series_0,train,2013-01-01,17249.744
World Bank USA Real GDP Yearly,series_0,train,2014-01-01,17685.098
World Bank USA Real GDP Yearly,series_0,train,2015-01-01,18206.021
World Bank USA Real GDP Yearly,series_0,train,2016-01-01,18537.27
World Bank USA Real GDP Yearly,series_0,train,2017-01-01,18992.846
World Bank USA Real GDP Yearly,series_0,train,2018-01-01,19556.27
World Bank USA Real GDP Yearly,series_0,test,2019-01-01,20061.57
World Bank USA Real GDP Yearly,series_0,test,2020-01-01,19627.633
World Bank USA Real GDP Yearly,series_0,test,2021-01-01,20816.096
World Bank USA Real GDP Yearly,series_0,test,2022-01-01,21339.074
World Bank USA Real GDP Yearly,series_0,test,2023-01-01,21955.252
World Bank USA Real GDP Yearly,series_0,test,2024-01-01,22568.463
