timestamp,eur_czk
1993-12-01,33.455
1994-01-01,33.579
1994-02-01,33.623
1994-03-01,33.612
1994-04-01,33.776
1994-05-01,33.957
1994-06-01,34.019
1994-07-01,34.285
1994-08-01,34.302
1994-09-01,34.169
1994-10-01,34.489
1994-11-01,34.798
1994-12-01,34.288
1995-01-01,34.17
1995-02-01,34.351
1995-03-01,34.145
1995-04-01,34.14
1995-05-01,34.455
1995-06-01,34.46
1995-07-01,34.46
1995-08-01,34.821
1995-09-01,34.283
1995-10-01,34.37
1995-11-01,34.19
1995-12-01,34.283
1996-01-01,34.058
1996-02-01,33.682
1996-03-01,34.297
1996-04-01,34.211
1996-05-01,34.214
1996-06-01,34.384
1996-07-01,34.241
1996-08-01,33.81
1996-09-01,33.164
1996-10-01,33.761
1996-11-01,34.092
1996-12-01,34.038
1997-01-01,33.908
1997-02-01,32.869
1997-03-01,33.102
1997-04-01,33.721
1997-05-01,34.972
1997-06-01,37.332
1997-07-01,36.389
1997-08-01,37.107
1997-09-01,36.6
1997-10-01,36.515
1997-11-01,37.629
1997-12-01,38.527
1998-01-01,38.222
1998-02-01,38.155
1998-03-01,37.075
1998-04-01,36.515
1998-05-01,36.456
1998-06-01,36.872
1998-07-01,36.533
1998-08-01,34.348
1998-09-01,36.965
1998-10-01,35.185
1998-11-01,34.527
1998-12-01,35.247
1999-01-01,35.021
1999-02-01,36.42
1999-03-01,37.975
1999-04-01,38.42
1999-05-01,37.765
1999-06-01,37.77
1999-07-01,36.64
1999-08-01,36.74
1999-09-01,36.59
1999-10-01,35.65
1999-11-01,36.615
1999-12-01,36.015
2000-01-01,36.13
2000-02-01,35.74
2000-03-01,35.48
2000-04-01,35.625
2000-05-01,36.24
2000-06-01,36.315
2000-07-01,35.845
2000-08-01,35.565
2000-09-01,35.315
2000-10-01,35.47
2000-11-01,34.86
2000-12-01,34.58
2001-01-01,35.09
2001-02-01,34.67
2001-03-01,34.595
2001-04-01,34.47
2001-05-01,34.65
2001-06-01,34.135
2001-07-01,33.765
2001-08-01,33.875
2001-09-01,34.235
2001-10-01,33.99
2001-11-01,33.585
2001-12-01,33.3
2002-01-01,31.98
2002-02-01,31.92
2002-03-01,31.6
2002-04-01,30.845
2002-05-01,30.625
2002-06-01,30.43
2002-07-01,29.26
2002-08-01,30.35
2002-09-01,30.45
2002-10-01,30.3
2002-11-01,30.79
2002-12-01,30.865
2003-01-01,31.6
2003-02-01,31.535
2003-03-01,31.795
2003-04-01,31.945
2003-05-01,31.45
2003-06-01,31.33
2003-07-01,31.575
2003-08-01,32.23
2003-09-01,32.44
2003-10-01,31.84
2003-11-01,32.03
2003-12-01,32.1
2004-01-01,32.405
2004-02-01,33.3
2004-03-01,32.435
2004-04-01,32.835
2004-05-01,32.54
2004-06-01,31.625
2004-07-01,31.76
2004-08-01,31.695
2004-09-01,31.875
2004-10-01,31.66
2004-11-01,31.535
2004-12-01,30.99
2005-01-01,30.465
2005-02-01,30.14
2005-03-01,29.76
2005-04-01,29.945
2005-05-01,30.5
2005-06-01,30.37
2005-07-01,30.03
2005-08-01,30.145
2005-09-01,29.565
2005-10-01,29.55
2005-11-01,29.6
2005-12-01,28.93
2006-01-01,29.005
2006-02-01,28.41
2006-03-01,28.325
2006-04-01,28.595
2006-05-01,28.43
2006-06-01,28.205
2006-07-01,28.495
2006-08-01,28.53
2006-09-01,28.215
2006-10-01,28.33
2006-11-01,28.22
2006-12-01,27.97
2007-01-01,27.495
2007-02-01,28.16
2007-03-01,28.3
2007-04-01,28.0
2007-05-01,28.125
2007-06-01,28.325
2007-07-01,28.715
2007-08-01,28.035
2007-09-01,27.725
2007-10-01,27.605
2007-11-01,26.97
2007-12-01,26.26
2008-01-01,26.62
2008-02-01,26.07
2008-03-01,25.22
2008-04-01,25.335
2008-05-01,25.21
2008-06-01,25.09
2008-07-01,23.895
2008-08-01,23.95
2008-09-01,24.735
2008-10-01,24.665
2008-11-01,24.23
2008-12-01,25.21
2009-01-01,26.93
2009-02-01,27.87
2009-03-01,28.125
2009-04-01,27.38
2009-05-01,26.71
2009-06-01,26.83
2009-07-01,25.89
2009-08-01,25.575
2009-09-01,25.38
2009-10-01,25.165
2009-11-01,26.465
2009-12-01,26.13
2010-01-01,26.465
2010-02-01,26.23
2010-03-01,25.965
2010-04-01,25.445
2010-05-01,25.575
2010-06-01,25.51
2010-07-01,25.695
2010-08-01,24.79
2010-09-01,24.85
2010-10-01,24.61
2010-11-01,24.605
2010-12-01,24.915
2011-01-01,25.06
