Period; * ;
2025-11-30;24,17;
2025-10-31;24,335;
2025-09-30;24,34;
2025-08-31;24,445;
2025-07-31;24,57;
2025-06-30;24,75;
2025-05-31;24,93;
2025-04-30;24,93;
2025-03-31;24,965;
2025-02-28;25,025;
2025-01-31;25,17;
2024-12-31;25,185;
2024-11-30;25,265;
2024-10-31;25,325;
2024-09-30;25,18;
2024-08-31;25,03;
2024-07-31;25,46;
2024-06-30;25,03;
2024-05-31;24,705;
2024-04-30;25,145;
2024-03-31;25,305;
2024-02-29;25,36;
2024-01-31;24,885;
2023-12-31;24,725;
2023-11-30;24,29;
2023-10-31;24,56;
2023-09-30;24,34;
2023-08-31;24,075;
2023-07-31;23,91;
2023-06-30;23,73;
2023-05-31;23,745;
2023-04-30;23,505;
2023-03-31;23,49;
2023-02-28;23,495;
2023-01-31;23,79;
2022-12-31;24,115;
2022-11-30;24,34;
2022-10-31;24,485;
2022-09-30;24,55;
2022-08-31;24,545;
2022-07-31;24,61;
2022-06-30;24,74;
2022-05-31;24,71;
2022-04-30;24,605;
2022-03-31;24,385;
2022-02-28;24,995;
2022-01-31;24,365;
2021-12-31;24,86;
2021-11-30;25,525;
2021-10-31;25,695;
2021-09-30;25,495;
2021-08-31;25,525;
2021-07-31;25,5;
2021-06-30;25,485;
2021-05-31;25,45;
2021-04-30;25,885;
2021-03-31;26,145;
2021-02-28;26,195;
2021-01-31;26,02;
2020-12-31;26,245;
2020-11-30;26,19;
2020-10-31;27,25;
2020-09-30;27,21;
2020-08-31;26,21;
2020-07-31;26,175;
2020-06-30;26,74;
2020-05-31;26,915;
2020-04-30;27,095;
2020-03-31;27,325;
2020-02-29;25,39;
2020-01-31;25,21;
2019-12-31;25,41;
2019-11-30;25,515;
2019-10-31;25,51;
2019-09-30;25,815;
2019-08-31;25,915;
2019-07-31;25,66;
2019-06-30;25,445;
2019-05-31;25,817;
2019-04-30;25,66;
2019-03-31;25,8;
2019-02-28;25,6;
2019-01-31;25,76;
2018-12-31;25,725;
2018-11-30;25,955;
2018-10-31;25,92;
2018-09-30;25,715;
2018-08-31;25,735;
2018-07-31;25,6;
2018-06-30;26,02;
2018-05-31;25,79;
2018-04-30;25,54;
2018-03-31;25,43;
2018-02-28;25,42;
2018-01-31;25,27;
2017-12-31;25,54;
2017-11-30;25,495;
2017-10-31;25,67;
2017-09-30;25,975;
2017-08-31;26,105;
2017-07-31;26,08;
2017-06-30;26,195;
2017-05-31;26,42;
2017-04-30;26,92;
2017-03-31;27,03;
2017-02-28;27,02;
2017-01-31;27,02;
2016-12-31;27,02;
2016-11-30;27,06;
2016-10-31;27,025;
2016-09-30;27,02;
2016-08-31;27,03;
2016-07-31;27,03;
2016-06-30;27,13;
2016-05-31;27,02;
2016-04-30;27,04;
2016-03-31;27,055;
2016-02-29;27,055;
2016-01-31;27,025;
2015-12-31;27,025;
2015-11-30;27,03;
2015-10-31;27,09;
2015-09-30;27,18;
2015-08-31;27,03;
2015-07-31;27,03;
2015-06-30;27,245;
2015-05-31;27,41;
2015-04-30;27,43;
2015-03-31;27,53;
2015-02-28;27,43;
2015-01-31;27,795;
2014-12-31;27,725;
2014-11-30;27,655;
2014-10-31;27,77;
2014-09-30;27,5;
2014-08-31;27,725;
2014-07-31;27,57;
2014-06-30;27,45;
2014-05-31;27,47;
2014-04-30;27,455;
2014-03-31;27,44;
2014-02-28;27,34;
2014-01-31;27,5;
2013-12-31;27,425;
2013-11-30;27,39;
2013-10-31;25,72;
2013-09-30;25,735;
2013-08-31;25,735;
2013-07-31;25,86;
2013-06-30;25,95;
2013-05-31;25,71;
2013-04-30;25,795;
2013-03-31;25,735;
2013-02-28;25,635;
2013-01-31;25,62;
2012-12-31;25,14;
2012-11-30;25,26;
2012-10-31;25,065;
2012-09-30;24,865;
2012-08-31;24,84;
2012-07-31;25,255;
2012-06-30;25,64;
2012-05-31;25,695;
2012-04-30;24,865;
2012-03-31;24,73;
2012-02-29;24,84;
2012-01-31;25,185;
2011-12-31;25,8;
2011-11-30;25,32;
2011-10-31;24,8;
2011-09-30;24,755;
2011-08-31;24,11;
2011-07-31;24,19;
2011-06-30;24,345;
2011-05-31;24,54;
2011-04-30;24,21;
2011-03-31;24,54;
2011-02-28;24,35;
2011-01-31;24,23;
2010-12-31;25,06;
2010-11-30;24,915;
2010-10-31;24,605;
2010-09-30;24,61;
2010-08-31;24,85;
2010-07-31;24,79;
2010-06-30;25,695;
2010-05-31;25,51;
2010-04-30;25,575;
2010-03-31;25,445;
2010-02-28;25,965;
2010-01-31;26,23;
2009-12-31;26,465;
2009-11-30;26,13;
2009-10-31;26,465;
2009-09-30;25,165;
2009-08-31;25,38;
2009-07-31;25,575;
2009-06-30;25,89;
2009-05-31;26,83;
2009-04-30;26,71;
2009-03-31;27,38;
2009-02-28;28,125;
2009-01-31;27,87;
2008-12-31;26,93;
2008-11-30;25,21;
2008-10-31;24,23;
2008-09-30;24,665;
2008-08-31;24,735;
2008-07-31;23,95;
2008-06-30;23,895;
2008-05-31;25,09;
2008-04-30;25,21;
2008-03-31;25,335;
2008-02-29;25,22;
2008-01-31;26,07;
2007-12-31;26,62;
2007-11-30;26,26;
2007-10-31;26,97;
2007-09-30;27,605;
2007-08-31;27,725;
2007-07-31;28,035;
2007-06-30;28,715;
2007-05-31;28,325;
2007-04-30;28,125;
2007-03-31;28;
2007-02-28;28,3;
2007-01-31;28,16;
2006-12-31;27,495;
2006-11-30;27,97;
2006-10-31;28,22;
2006-09-30;28,33;
2006-08-31;28,215;
2006-07-31;28,53;
2006-06-30;28,495;
2006-05-31;28,205;
2006-04-30;28,43;
2006-03-31;28,595;
2006-02-28;28,325;
2006-01-31;28,41;
2005-12-31;29,005;
2005-11-30;28,93;
2005-10-31;29,6;
2005-09-30;29,55;
2005-08-31;29,565;
2005-07-31;30,145;
2005-06-30;30,03;
2005-05-31;30,37;
2005-04-30;30,5;
2005-03-31;29,945;
2005-02-28;29,76;
2005-01-31;30,14;
2004-12-31;30,465;
2004-11-30;30,99;
2004-10-31;31,535;
2004-09-30;31,66;
2004-08-31;31,875;
2004-07-31;31,695;
2004-06-30;31,76;
2004-05-31;31,625;
2004-04-30;32,54;
2004-03-31;32,835;
2004-02-29;32,435;
2004-01-31;33,3;
2003-12-31;32,405;
2003-11-30;32,1;
2003-10-31;32,03;
2003-09-30;31,84;
2003-08-31;32,44;
2003-07-31;32,23;
2003-06-30;31,575;
2003-05-31;31,33;
2003-04-30;31,45;
2003-03-31;31,945;
2003-02-28;31,795;
2003-01-31;31,535;
2002-12-31;31,6;
2002-11-30;30,865;
2002-10-31;30,79;
2002-09-30;30,3;
2002-08-31;30,45;
2002-07-31;30,35;
2002-06-30;29,26;
2002-05-31;30,43;
2002-04-30;30,625;
2002-03-31;30,845;
2002-02-28;31,6;
2002-01-31;31,92;
2001-12-31;31,98;
2001-11-30;33,3;
2001-10-31;33,585;
2001-09-30;33,99;
2001-08-31;34,235;
2001-07-31;33,875;
2001-06-30;33,765;
2001-05-31;34,135;
2001-04-30;34,65;
2001-03-31;34,47;
2001-02-28;34,595;
2001-01-31;34,67;
2000-12-31;35,09;
2000-11-30;34,58;
2000-10-31;34,86;
2000-09-30;35,47;
2000-08-31;35,315;
2000-07-31;35,565;
2000-06-30;35,845;
2000-05-31;36,315;
2000-04-30;36,24;
2000-03-31;35,625;
2000-02-29;35,48;
2000-01-31;35,74;
1999-12-31;36,13;
1999-11-30;36,015;
1999-10-31;36,615;
1999-09-30;35,65;
1999-08-31;36,59;
1999-07-31;36,74;
1999-06-30;36,64;
1999-05-31;37,77;
1999-04-30;37,765;
1999-03-31;38,42;
1999-02-28;37,975;
1999-01-31;36,42;
1998-12-31;35,021;
1998-11-30;35,247;
1998-10-31;34,527;
1998-09-30;35,185;
1998-08-31;36,965;
1998-07-31;34,348;
1998-06-30;36,533;
1998-05-31;36,872;
1998-04-30;36,456;
1998-03-31;36,515;
1998-02-28;37,075;
1998-01-31;38,155;
1997-12-31;38,222;
1997-11-30;38,527;
1997-10-31;37,629;
1997-09-30;36,515;
1997-08-31;36,6;
1997-07-31;37,107;
1997-06-30;36,389;
1997-05-31;37,332;
1997-04-30;34,972;
1997-03-31;33,721;
1997-02-28;33,102;
1997-01-31;32,869;
1996-12-31;33,908;
1996-11-30;34,038;
1996-10-31;34,092;
1996-09-30;33,761;
1996-08-31;33,164;
1996-07-31;33,81;
1996-06-30;34,241;
1996-05-31;34,384;
1996-04-30;34,214;
1996-03-31;34,211;
1996-02-29;34,297;
1996-01-31;33,682;
1995-12-31;34,058;
1995-11-30;34,283;
1995-10-31;34,19;
1995-09-30;34,37;
1995-08-31;34,283;
1995-07-31;34,821;
1995-06-30;34,46;
1995-05-31;34,46;
1995-04-30;34,455;
1995-03-31;34,14;
1995-02-28;34,145;
1995-01-31;34,351;
1994-12-31;34,17;
1994-11-30;34,288;
1994-10-31;34,798;
1994-09-30;34,489;
1994-08-31;34,169;
1994-07-31;34,302;
1994-06-30;34,285;
1994-05-31;34,019;
1994-04-30;33,957;
1994-03-31;33,776;
1994-02-28;33,612;
1994-01-31;33,623;
1993-12-31;33,579;
1993-11-30;33,455;
